outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
90b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.970596171875271	0.819025046073167	1.15021748525963	0.730470105336286	Music	0.987749295828522
90b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.996964968574563	0.849333326274388	1.17025803393917	0.970346533354999	Music	0.987749295828522
90b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.983411681170253	0.821802755558559	1.17680128001614	0.855096657978358	Music	0.987749295828522
90b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.05724055047014	0.904848125849999	1.23529855411747	0.483362855826513	Music	0.918769189445579
90b	Epilepsy	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	0.916310972230839	0.780585773239056	1.07563553758683	0.285274343791047	Music	0.796867548371851
90b	Seizure	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1156	1.01802387348205	0.872208843470937	1.1882161190377	0.820827746055338	Music	0.987749295828522
91b	Autism	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.23403728631588	1.00114899667035	1.5211002848553	0.0487552789864296	Drawing	0.265937885380525
91b	Educational attainment	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	0.906045275942964	0.7310048916321	1.12299938270689	0.3676752004455	Drawing	0.894691564757141
91b	Intelligence	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.01537248502619	0.816960249551156	1.26197239573735	0.890617487943695	Drawing	0.987749295828522
91b	Schizophrenia	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.04948278162671	0.775006379419149	1.42116779703985	0.754868443426162	Drawing	0.987749295828522
91b	ADHD	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.29050199727421	1.02933043240265	1.61794051020272	0.0270680977488645	Drawing	0.200159871962452
91b	Bipolar disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.24372744101163	1.00727461287919	1.53568642329205	0.0426280640445783	Drawing	0.25576838426747
91b	Major depression	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.54585435138305	1.21341843930818	1.96936654189331	0.000422242447926084	Drawing	0.00844484895852169
91b	Obsessive-compulsive disorder	ADOS CSS + VABS + PC1-PC5; pooled 1,172 (primary)	1155	1.18212744517247	0.961080496059529	1.45401483263835	0.113166825575203	Drawing	0.483257243461723
