outcome	PGS	model	N	OR	lower_CI	upper_CI	p_value	domain	p_fdr
89b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.991812133339551	0.871139359366667	1.12920085318463	0.901148981664511	Memory	0.978870468003059
89b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.987636153380022	0.872219586115696	1.1183252325337	0.844445110191906	Memory	0.978870468003059
89b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.961870128249636	0.838028422567085	1.10401284575155	0.580379273678304	Memory	0.978870468003059
89b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.989604715511333	0.87741889734679	1.11613448937971	0.864837314103626	Memory	0.978870468003059
89b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.04556551674886	0.92333914212483	1.18397152242304	0.482369969840048	Memory	0.930302128910271
89b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.01574397493299	0.90109527249984	1.14497973088949	0.798226557655898	Memory	0.978870468003059
90b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.01264299558863	0.862103657177959	1.18946930334508	0.878397676090617	Music	0.978870468003059
90b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.1451647507442	0.974727275401989	1.34540433969716	0.0992235276563801	Music	0.436489286382144
90b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.12389251278302	0.955606537767957	1.32181429319233	0.158161320646999	Music	0.593104952426244
90b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.29525582978988	1.03512572293763	1.62075738958887	0.0237107516643351	Music	0.191570248593916
90b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.984561515315442	0.830543108099935	1.16714155832066	0.857734523991091	Music	0.978870468003059
90b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.01170265136752	0.861686900461267	1.18783545883796	0.887016587910893	Music	0.978870468003059
90b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.992630723631669	0.829074402148866	1.18845275037283	0.935826041271233	Music	0.978870468003059
90b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.06662016346712	0.912130343253846	1.24727631476021	0.419156269805171	Music	0.930302128910271
90b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	0.920935835900964	0.784082377148882	1.08167564858503	0.315640906978369	Music	0.860838837213734
90b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1153	1.02860655180988	0.880955077698711	1.20100498335291	0.721273607566637	Music	0.978870468003059
91b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.24386406181877	1.00872165022846	1.53382035959461	0.0412319460463815	Drawing	0.229759778360102
91b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	0.911600159960203	0.735750757764016	1.12947875740552	0.39730336906252	Drawing	0.930302128910271
91b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.02314244364644	0.823226454244667	1.27160692491509	0.836587865994673	Drawing	0.978870468003059
91b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.04226923386267	0.769882578744414	1.41102706548879	0.788797980489514	Drawing	0.978870468003059
91b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.29387751521547	1.0320142605831	1.62218594095227	0.0255426998125221	Drawing	0.191570248593916
91b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.24492045214476	1.00782862718891	1.53778816195285	0.0421226260326853	Drawing	0.229759778360102
91b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.54132915587851	1.21110207339788	1.96159813358745	0.000436661191643345	Drawing	0.0088248468149057
91b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.1848900565792	0.963070769517372	1.4577998737142	0.10867857798219	Drawing	0.436489286382144
91b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	0.993362836494472	0.801662740393945	1.23090381429407	0.951459217257758	Drawing	0.978870468003059
91b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1152	1.06006667774258	0.866352853340916	1.29709431547055	0.571015252746808	Drawing	0.978870468003059
92b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.00336752729124	0.880297158362248	1.14364380852431	0.959840661899126	Reading	0.978870468003059
92b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.28669134160844	1.12664559152889	1.46947240642328	0.000199633559592013	Reading	0.0088248468149057
92b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.27130567596057	1.11200144007695	1.45343168046412	0.000441242340745285	Reading	0.0088248468149057
92b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	0.893026685086614	0.749140823740936	1.06454839331059	0.206891692214914	Reading	0.653342185941835
92b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	0.936133163342366	0.816955081873131	1.07269704167833	0.342157517692057	Reading	0.892584828761889
92b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.08206497907066	0.948816221810687	1.23402677148243	0.239458108578358	Reading	0.718374325735073
92b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	0.997012183439441	0.862171878163623	1.15294098439387	0.96780538511924	Reading	0.978870468003059
92b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	0.961942773825912	0.847227228367634	1.0921909366614	0.549264304318584	Reading	0.978870468003059
92b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.05584763949425	0.925556971549789	1.20447932660361	0.4186725846633	Reading	0.930302128910271
92b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1149	1.02137910678336	0.900300400709033	1.15874132561974	0.742471767591747	Reading	0.978870468003059
93b	Autism	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.19484037413554	1.01627785387811	1.40477676869221	0.0311244036155777	Computational	0.207496024103851
93b	Educational attainment	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.0185226060926	0.864668535245644	1.19975257203843	0.826138273950539	Computational	0.978870468003059
93b	Intelligence	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.29459541513546	1.10030381942294	1.5231950115094	0.00185781773807282	Computational	0.0278672660710923
93b	Schizophrenia	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.12476030615582	0.89739389410121	1.40973295519331	0.307548049613079	Computational	0.860838837213734
93b	ADHD	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	0.970406469961456	0.817546372100342	1.15184746587986	0.731225086431966	Computational	0.978870468003059
93b	Bipolar disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.20551326247813	1.02415731714339	1.41898339413728	0.0246448771370145	Computational	0.191570248593916
93b	Major depression	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.01114013195343	0.843036053011012	1.21276470062598	0.904942173295301	Computational	0.978870468003059
93b	Obsessive-compulsive disorder	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	0.878873791535836	0.750464158657104	1.02925520497975	0.109122321595536	Computational	0.436489286382144
93b	Epilepsy	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.06387488447563	0.905265325696592	1.25027407732324	0.452237287688931	Computational	0.930302128910271
93b	Seizure	SRS + VABS + ancestry PCs; pooled 1,172 (sensitivity)	1144	1.056525742805	0.901789905278635	1.23781230935909	0.496161135418811	Computational	0.930302128910271
